Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Symbiont_d13C,Symbiont_d15N,Symbiont_C_ug,Symbiont_wt-percent_C,Symbiont_wt-percent_C_num,Symbiont_N_ug,Symbiont_wt-percent_N,Symbiont_wt-percent_N_num,Symbiont_dry-weight_mg,Symbiont_dry-weight_ug,Symbiont_CN_molar-ratio
2015,ZM302,Symbiont,Galaxea,Deep,Vaavu,Kandimma Falhu,-18,6,620.8,0.31,31,95.9,0.048,4.8,2.005,2005,7.6
2015,ZM303,Symbiont,Galaxea,Deep,Vaavu,Kandimma Falhu,-17.5,5.7,780.1,0.386,38.6,114.3,0.057,5.7,2.021,2021,8
2015,ZM305,Symbiont,Galaxea,Shallow,Vaavu,Kandimma Falhu,-13.1,5.1,379.4,0.184,18.4,59.6,0.029,2.9,2.057,2057,7.4
2015,ZM307,Symbiont,Galaxea,Shallow,Vaavu,Kandimma Falhu,-16.7,4.7,469.4,0.227,22.7,69.6,0.034,3.4,2.068,2068,7.9
2015,ZM309,Symbiont,Galaxea,Shallow,Vaavu,Kandimma Falhu,-13.5,4.2,259.5,0.123,12.3,34.7,0.016,1.6,2.104,2104,8.7
2015,ZM312,Symbiont,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-16.7,5.7,624.7,0.311,31.1,117.2,0.058,5.8,2.009,2009,6.2
2015,ZM314,Symbiont,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-17.8,4.6,391.2,0.185,18.5,66.1,0.031,3.1,2.119,2119,6.9
2015,ZM317,Symbiont,Pocillopora,Shallow,Vaavu,Kandimma Falhu,,6,609.6,0.297,29.7,130.9,0.064,6.4,2.052,2052,5.4
2015,ZM319,Symbiont,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-12.5,5.9,381.5,0.188,18.8,47.5,0.023,2.3,2.034,2034,9.4
2015,ZM322,Symbiont,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-12,5.2,242.4,0.116,11.6,31.7,0.015,1.5,2.092,2092,8.9
2015,ZM324,Symbiont,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-11.2,5.7,314.3,0.153,15.3,41.1,0.02,2,2.059,2059,8.9
2015,ZM326,Symbiont,Pachyseris,Deep,Vaavu,Medhu Faru,-13,5.8,515,0.243,24.3,61.9,0.029,2.9,2.119,2119,9.7
2015,ZM332,Symbiont,Pachyseris,Deep,Vaavu,Medhu Faru,-15.8,6.1,630.6,0.316,31.6,75.6,0.038,3.8,1.995,1995,9.7
2015,ZM333,Symbiont,Pachyseris,Deep,Vaavu,Medhu Faru,-13.4,6.1,178.5,0.084,8.4,23.7,0.011,1.1,2.122,2122,8.8
2015,ZM336,Symbiont,Pocillopora,Deep,Vaavu,Medhu Faru,-16.2,5.5,566.5,0.281,28.1,93.6,0.046,4.6,2.013,2013,7.1
2015,ZM337,Symbiont,Pocillopora,Deep,Vaavu,Medhu Faru,-16.1,5.1,791.9,0.386,38.6,120.5,0.059,5.9,2.052,2052,7.7
2015,ZM342,Symbiont,Pocillopora,Deep,Vaavu,Medhu Faru,-17.2,4.9,446.2,0.222,22.2,80.2,0.04,4,2.014,2014,6.5
2015,ZM344,Symbiont,Galaxea,Deep,Vaavu,Medhu Faru,-18.7,5.3,440.4,0.213,21.3,54.4,0.026,2.6,2.071,2071,9.4
2015,ZM348,Symbiont,Galaxea,Deep,Vaavu,Medhu Faru,-16.8,5.9,307.2,0.149,14.9,40.9,0.02,2,2.065,2065,8.8
2015,ZM349,Symbiont,Galaxea,Deep,Vaavu,Medhu Faru,-17.2,5,325.7,0.159,15.9,57.4,0.028,2.8,2.052,2052,6.6
2015,ZM350,Symbiont,Pocillopora,Shallow,Vaavu,Medhu Faru,-15.7,5,432.9,0.214,21.4,74.3,0.037,3.7,2.025,2025,6.8
2015,ZM354,Symbiont,Pocillopora,Shallow,Vaavu,Medhu Faru,-17.2,5.1,579.1,0.283,28.3,99.9,0.049,4.9,2.049,2049,6.8
2015,ZM358,Symbiont,Pocillopora,Shallow,Vaavu,Medhu Faru,-16.7,5.4,384.9,0.187,18.7,69.6,0.034,3.4,2.061,2061,6.5
2015,ZM360,Symbiont,Pachyseris,Shallow,Vaavu,Medhu Faru,-15.4,4.9,573.2,0.281,28.1,84.6,0.041,4.1,2.043,2043,7.9
2015,ZM363,Symbiont,Pachyseris,Shallow,Vaavu,Medhu Faru,-16.3,5,454.9,0.223,22.3,50.6,0.025,2.5,2.041,2041,10.5
2015,ZM364,Symbiont,Pachyseris,Shallow,Vaavu,Medhu Faru,-18.1,4.7,395.3,0.193,19.3,40.1,0.02,2,2.045,2045,11.5
2015,ZM366,Symbiont,Galaxea,Shallow,Vaavu,Medhu Faru,-13.4,3.8,415.4,0.203,20.3,63.9,0.031,3.1,2.042,2042,7.6
2015,ZM370,Symbiont,Galaxea,Shallow,Vaavu,Medhu Faru,-14.9,4.1,625.2,0.311,31.1,106.3,0.053,5.3,2.009,2009,6.9
2015,ZM373,Symbiont,Galaxea,Shallow,Vaavu,Medhu Faru,-14.1,4.5,545,0.262,26.2,63.6,0.031,3.1,2.079,2079,10
2015,ZM378,Symbiont,Galaxea,Shallow,Vaavu,Medhu Faru,-15.2,4.6,418.2,0.201,20.1,59.2,0.028,2.8,2.084,2084,8.2
2015,ZM385,Symbiont,Pachyseris,Shallow,South Male,Maafushi S. Male,-14.4,5.6,293.3,0.135,13.5,38.4,0.018,1.8,2.175,2175,8.9
2015,ZM386,Symbiont,Pachyseris,Shallow,South Male,Maafushi S. Male,-14.3,5.8,614.4,0.295,29.5,85.8,0.041,4.1,2.08,2080,8.4
2015,ZM388,Symbiont,Pachyseris,Shallow,South Male,Maafushi S. Male,-14.2,5.2,371,0.177,17.7,48.4,0.023,2.3,2.098,2098,8.9
2015,ZM391,Symbiont,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-17.5,5,677.1,0.33,33,111.2,0.054,5.4,2.051,2051,7.1
2015,ZM394,Symbiont,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-17,3.7,575.1,0.282,28.2,89,0.044,4.4,2.038,2038,7.5
2015,ZM395,Symbiont,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-16.9,5.1,815.7,0.404,40.4,125.5,0.062,6.2,2.018,2018,7.6
2015,ZM396,Symbiont,Galaxea,Deep,South Male,Fushidiggaru Falhu,-16.3,4.3,414.6,0.2,20,57.5,0.028,2.8,2.071,2071,8.4
2015,ZM398,Symbiont,Galaxea,Deep,South Male,Fushidiggaru Falhu,-17.4,4.1,473.8,0.226,22.6,78.9,0.038,3.8,2.099,2099,7
2015,ZM400,Symbiont,Galaxea,Deep,South Male,Fushidiggaru Falhu,-15,5.1,380.2,0.188,18.8,50.2,0.025,2.5,2.026,2026,8.8
2017,ZM403,Symbiont,Pachyseris,Deep,North Ari,Mathiveri,-13.3,5.1,368.5,0.179,17.9,46,0.022,2.2,2.061,2061,9.3
2017,ZM404,Symbiont,Pachyseris,Deep,North Ari,Mathiveri,-14.3,3.7,215.3,0.11,11,36.7,0.019,1.9,1.951,1951,6.8
2017,ZM405,Symbiont,Pachyseris,Deep,North Ari,Mathiveri,-10.9,2.3,285.1,0.142,14.2,40.8,0.02,2,2.014,2014,8.2
