Year,Sample_ID_Host,Coral,Depth,Atoll,Site,d13C_Host,d15N_Host,C_ug_Host,C_wt-percent_Host,C_wt-percent-num_Host,N_ug_Host,N_wt-percent_Host,N_wt-percent-num_Host,dry-weight_mg_Host,dry-weight_ug_Host,CN_molar-ratio_Host,Sample_ID_Sym,d13C_Sym,d15N_Sym,C_ug_Sym,C_wt-percent_Sym,C_wt-percent-num_Sym,N_ug_Sym,N_wt-percent_Sym,N_wt-percent-num_Sym,dry-weight_mg_Sym,dry-weight_ug_Sym,CN_molar-ratio_Sym,d13C_host-sym,d15N_host-sym
2015,HM205,Pachyseris,Deep,Meemu,Bodu huraa,-14.9,5.5,357.4,0.097,9.7,65.4,0.018,1.8,3.692,3692,6.4,ZM205,-14.2,6.3,436.6,0.211,21.1,50,0.024,2.4,2.071,2071,10.2,-0.7,-0.8
2015,HM206,Pachyseris,Deep,Meemu,Bodu huraa,-15.8,6.4,499.3,0.137,13.7,92.8,0.026,2.6,3.633,3633,6.3,ZM206,-12.2,6.1,263.5,0.126,12.6,27.2,0.013,1.3,2.094,2094,11.3,-3.6,0.3
2015,HM207,Pachyseris,Deep,Meemu,Bodu huraa,-14.7,5.1,294.4,0.08,8,54.9,0.015,1.5,3.696,3696,6.3,ZM207,-14.6,6.6,633.1,0.307,30.7,82.2,0.04,4,2.059,2059,9,-0.1,-1.5
2015,HM211,Galaxea,Deep,Meemu,Bodu huraa,-17.3,5.1,322.6,0.089,8.9,64.5,0.018,1.8,3.615,3615,5.8,ZM211,-16.7,4.3,479.5,0.234,23.4,75.3,0.037,3.7,2.052,2052,7.4,-0.6,0.8
2015,HM212,Galaxea,Deep,Meemu,Bodu huraa,-16.2,5.9,503.6,0.138,13.8,97.9,0.027,2.7,3.662,3662,6,ZM212,-15.7,5.2,394.6,0.194,19.4,50.5,0.025,2.5,2.034,2034,9.1,-0.5,0.7
2015,HM213,Pocillopora,Deep,Meemu,Bodu huraa,-18.4,4.6,200.5,0.055,5.5,41.5,0.011,1.1,3.646,3646,5.6,ZM213,-17.0,5.5,667.7,0.318,31.8,127,0.06,6,2.1,2100,6.1,-1.4,-0.9
2015,HM216,Pocillopora,Deep,Meemu,Bodu huraa,-17.1,5.3,276.6,0.075,7.5,55.6,0.015,1.5,3.669,3669,5.8,ZM216,-16.3,5.6,766.1,0.374,37.4,132.6,0.065,6.5,2.046,2046,6.7,-0.8,-0.3
2015,HM220,Pocillopora,Deep,Meemu,Bodu huraa,-16.9,6.2,290,0.081,8.1,61,0.017,1.7,3.601,3601,5.5,ZM220,-15.7,5.0,557.2,0.262,26.2,101.5,0.048,4.8,2.129,2129,6.4,-1.2,1.2
2015,HM225,Galaxea,Deep,Meemu,Bodu huraa,-17.4,5.6,215.3,0.059,5.9,41.1,0.011,1.1,3.657,3657,6.1,ZM225,-17.2,4.5,396.5,0.185,18.5,63.8,0.03,3,2.142,2142,7.3,-0.2,1.1
2015,HM228,Pachyseris,Shallow,Meemu,Bodu huraa,-15.0,5.3,437.5,0.121,12.1,79,0.022,2.2,3.627,3627,6.5,ZM228,-12.8,5.5,222.5,0.107,10.7,25.5,0.012,1.2,2.089,2089,10.2,-2.2,-0.2
2015,HM230,Pachyseris,Shallow,Meemu,Bodu huraa,-15.5,4.9,352.6,0.096,9.6,61.7,0.017,1.7,3.676,3676,6.7,ZM230,-15.1,5.2,377.2,0.185,18.5,52.3,0.026,2.6,2.034,2034,8.4,-0.4,-0.3
2015,HM232,Pachyseris,Shallow,Meemu,Bodu huraa,-12.6,5.2,448.6,0.122,12.2,77.9,0.021,2.1,3.687,3687,6.7,ZM232,-12.0,5.8,464.4,0.23,23,55.9,0.028,2.8,2.023,2023,9.7,-0.6,-0.6
2015,HM235,Pocillopora,Shallow,Meemu,Bodu huraa,-18.8,5.6,179.1,0.049,4.9,34.4,0.009,0.9,3.677,3677,6.1,ZM235,-18.2,5.5,640.8,0.318,31.8,104.1,0.052,5.2,2.013,2013,7.2,-0.6,0.1
2015,HM236,Pocillopora,Shallow,Meemu,Bodu huraa,-18.1,5.4,284.1,0.078,7.8,54.8,0.015,1.5,3.645,3645,6.1,ZM236,-17.8,4.1,648.3,0.309,30.9,99,0.047,4.7,2.098,2098,7.6,-0.3,1.3
