Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,d13C,d15N,C_ug,wt-percent_C,wt-percent_C_num,N_ug,wt-percent_N,wt-percent_N_num,dry-weight_mg,dry-weight_ug,CN_molar-ratio
2015,HM290,Host,Pocillopora,Deep,Vaavu,Kandimma Falhu,-19.2,5.6,205.0,0.056,5.6,41.8,0.011,1.1,3.643,3643,5.7
2015,HM291,Host,Pocillopora,Deep,Vaavu,Kandimma Falhu,-17.7,5.6,223.3,0.061,6.1,45.2,0.012,1.2,3.684,3684,5.8
2015,HM293,Host,Pachyseris,Deep,Vaavu,Kandimma Falhu,-15.8,5.9,369.9,0.101,10.1,68.9,0.019,1.9,3.661,3661,6.3
2015,HM294,Host,Pachyseris,Deep,Vaavu,Kandimma Falhu,-14.2,5.8,362.8,0.100,10.0,69.8,0.019,1.9,3.645,3645,6.1
2015,HM295,Host,Pachyseris,Deep,Vaavu,Kandimma Falhu,-15.4,5.8,387.6,0.107,10.7,72.4,0.020,2.0,3.631,3631,6.2
2015,HM302,Host,Galaxea,Deep,Vaavu,Kandimma Falhu,-18.3,5.8,390.0,0.108,10.8,69.5,0.019,1.9,3.626,3626,6.5
2015,HM303,Host,Galaxea,Deep,Vaavu,Kandimma Falhu,-17.6,6.2,309.7,0.085,8.5,60.9,0.017,1.7,3.649,3649,5.9
2015,HM305,Host,Galaxea,Shallow,Vaavu,Kandimma Falhu,-14.2,6.0,614.7,0.169,16.9,111.1,0.031,3.1,3.631,3631,6.5
2015,HM307,Host,Galaxea,Shallow,Vaavu,Kandimma Falhu,-17.1,6.2,514.4,0.139,13.9,98.6,0.027,2.7,3.692,3692,6.1
2015,HM309,Host,Galaxea,Shallow,Vaavu,Kandimma Falhu,-14.3,6.0,427.6,0.117,11.7,79.7,0.022,2.2,3.644,3644,6.3
2015,HM312,Host,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-17.4,6.0,504.2,0.138,13.8,91.7,0.025,2.5,3.654,3654,6.4
2015,HM314,Host,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-18.3,5.9,326.8,0.090,9.0,69.5,0.019,1.9,3.642,3642,5.5
2015,HM317,Host,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-18.3,5.7,388.6,0.108,10.8,72.4,0.020,2.0,3.603,3603,6.3
2015,HM319,Host,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-14.5,5.9,416.0,0.111,11.1,80.4,0.022,2.2,3.733,3733,6.0
2015,HM322,Host,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-13.7,5.9,471.9,0.131,13.1,85.0,0.024,2.4,3.613,3613,6.5
2015,HM324,Host,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-13.0,5.2,295.4,0.082,8.2,60.8,0.017,1.7,3.606,3606,5.7
2015,HM326,Host,Pachyseris,Deep,Vaavu,Medhu Faru,-13.1,5.6,295.6,0.081,8.1,51.0,0.014,1.4,3.629,3629,6.8
2015,HM332,Host,Pachyseris,Deep,Vaavu,Medhu Faru,-15.5,5.4,229.2,0.064,6.4,42.9,0.012,1.2,3.602,3602,6.2
2015,HM333,Host,Pachyseris,Deep,Vaavu,Medhu Faru,-14.2,5.7,266.6,0.073,7.3,49.6,0.014,1.4,3.654,3654,6.3
2015,HM336,Host,Pocillopora,Deep,Vaavu,Medhu Faru,-17.5,5.7,401.7,0.109,10.9,79.7,0.022,2.2,3.671,3671,5.9
2015,HM337,Host,Pocillopora,Deep,Vaavu,Medhu Faru,-16.8,5.7,336.4,0.090,9.0,69.0,0.019,1.9,3.718,3718,5.7
2015,HM342,Host,Pocillopora,Deep,Vaavu,Medhu Faru,-18.3,5.6,427.9,0.118,11.8,83.7,0.023,2.3,3.642,3642,6.0
2015,HM344,Host,Galaxea,Deep,Vaavu,Medhu Faru,-18.5,5.5,255.5,0.070,7.0,50.7,0.014,1.4,3.648,3648,5.9
2015,HM348,Host,Galaxea,Deep,Vaavu,Medhu Faru,-17.5,5.3,262.3,0.072,7.2,44.4,0.012,1.2,3.622,3622,6.9
2015,HM349,Host,Galaxea,Deep,Vaavu,Medhu Faru,-17.6,5.1,206.4,0.057,5.7,40.1,0.011,1.1,3.619,3619,6.0
2015,HM350,Host,Pocillopora,Shallow,Vaavu,Medhu Faru,-16.9,5.9,430.3,0.117,11.7,80.4,0.022,2.2,3.683,3683,6.2
2015,HM354,Host,Pocillopora,Shallow,Vaavu,Medhu Faru,-17.9,5.8,477.0,0.130,13.0,100.4,0.027,2.7,3.683,3683,5.5
2015,HM358,Host,Pocillopora,Shallow,Vaavu,Medhu Faru,-18.0,6.1,476.8,0.129,12.9,101.2,0.027,2.7,3.687,3687,5.5
2015,HM360,Host,Pachyseris,Shallow,Vaavu,Medhu Faru,-15.4,5.2,360.4,0.099,9.9,69.7,0.019,1.9,3.640,3640,6.0
