Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Host_d13C,Host_d15N,Host_C_ug,Host_wt-percent_C,Host_wt-percent_C_num,Host_N_ug,Host_wt-percent_N,Host_wt-percent_N_num,Host_dry-weight_mg,Host_dry-weight_ug,Host_CN_molar-ratio
2015,HM378,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-16.2,6,380.06,0.105,10.5,73.4,0.02,2,3.615,3615,6
2015,HM385,Host,Pachyseris,Shallow,South Male,Maafushi S. Male,-14.8,5.1,372.9,0.103,10.3,66.27,0.018,1.8,3.608,3608,6.6
2015,HM386,Host,Pachyseris,Shallow,South Male,Maafushi S. Male,-14.7,5.3,442.16,0.121,12.1,74.12,0.02,2,3.66,3660,7
2015,HM388,Host,Pachyseris,Shallow,South Male,Maafushi S. Male,-15.5,5.4,407.65,0.112,11.2,76.5,0.021,2.1,3.632,3632,6.2
2015,HM391,Host,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-18.7,5.1,487.74,0.133,13.3,93.97,0.026,2.6,3.677,3677,6.1
2015,HM394,Host,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-17.4,5.3,279.36,0.077,7.7,50.43,0.014,1.4,3.632,3632,6.5
2015,HM395,Host,Pocillopora,Deep,South Male,Fushidiggaru Falhu,-17.2,5.9,285.28,0.078,7.8,48.73,0.013,1.3,3.654,3654,6.8
2015,HM396,Host,Galaxea,Deep,South Male,Fushidiggaru Falhu,-16.7,5,396.79,0.107,10.7,67.88,0.018,1.8,3.696,3696,6.8
2015,HM398,Host,Galaxea,Deep,South Male,Fushidiggaru Falhu,-17.8,5.1,245.76,0.068,6.8,50.63,0.014,1.4,3.627,3627,5.7
2015,HM400,Host,Galaxea,Deep,South Male,Fushidiggaru Falhu,-15.9,5.3,352.63,0.096,9.6,60.99,0.017,1.7,3.666,3666,6.7
2017,HM403,Host,Pachyseris,Deep,North Ari,Mathiveri,-15.1,5.6,529.74,0.145,14.5,92.27,0.025,2.5,3.642,3642,6.7
2017,HM404,Host,Pachyseris,Deep,North Ari,Mathiveri,-13.9,6.6,250.67,0.069,6.9,46.39,0.013,1.3,3.648,3648,6.3
2017,HM405,Host,Pachyseris,Deep,North Ari,Mathiveri,-14.9,6.6,157.96,0.043,4.3,30.45,0.008,0.8,3.681,3681,6.1
2017,HM411,Host,Galaxea,Shallow,North Ari,Mathiveri,-16.3,6.5,579.38,0.16,16,115.28,0.032,3.2,3.623,3623,5.9
2017,HM412,Host,Pocillopora,Shallow,North Ari,Mathiveri,-17,5.7,364.33,0.099,9.9,85.16,0.023,2.3,3.697,3697,5
2017,HM415,Host,Galaxea,Shallow,North Ari,Mathiveri,-16.1,5.7,764.41,0.207,20.7,139.38,0.038,3.8,3.692,3692,6.4
2017,HM418,Host,Pocillopora,Shallow,North Ari,Mathiveri,-18.8,6.4,431.4,0.119,11.9,93.71,0.026,2.6,3.616,3616,5.4
2017,HM420,Host,Pocillopora,Shallow,North Ari,Mathiveri,-18.2,6.6,373.91,0.102,10.2,79.65,0.022,2.2,3.679,3679,5.5
2017,HM421,Host,Galaxea,Shallow,North Ari,Mathiveri,-16.8,6.1,494.08,0.134,13.4,101.36,0.028,2.8,3.684,3684,5.7
2017,HM422,Host,Pachyseris,Deep,North Ari,Dinoluga,-14.9,5.1,220.85,0.061,6.1,40.48,0.011,1.1,3.644,3644,6.4
2017,HM423,Host,Pachyseris,Deep,North Ari,Dinoluga,-16.3,5.7,330.06,0.09,9,58.07,0.016,1.6,3.684,3684,6.6
2017,HM424,Host,Pachyseris,Deep,North Ari,Dinoluga,-17.8,5.3,480.59,0.131,13.1,66.7,0.018,1.8,3.676,3676,8.4
